long,lat,cpue
-18.5,23.5,NA
-17.5,23.5,NA
-16.5,23.5,NA
-15.5,23.5,NA
-14.5,23.5,NA
-13.5,23.5,NA
-12.5,23.5,NA
-11.5,23.5,NA
-10.5,23.5,NA
-9.5,23.5,NA
-8.5,23.5,NA
-7.5,23.5,NA
-6.5,23.5,NA
-5.5,23.5,NA
-4.5,23.5,NA
-3.5,23.5,NA
-2.5,23.5,NA
-1.5,23.5,NA
-0.5,23.5,NA
-46.5,22.5,NA
-45.5,22.5,NA
-44.5,22.5,NA
-43.5,22.5,NA
-42.5,22.5,NA
-41.5,22.5,NA
-40.5,22.5,NA
-39.5,22.5,NA
-38.5,22.5,NA
-37.5,22.5,NA
-36.5,22.5,NA
-35.5,22.5,NA
-34.5,22.5,NA
-33.5,22.5,NA
-32.5,22.5,NA
-31.5,22.5,NA
-30.5,22.5,NA
-29.5,22.5,NA
-28.5,22.5,841.00
-27.5,22.5,866.33
-26.5,22.5,1290.00
-25.5,22.5,2372.56
-24.5,22.5,3597.44
-23.5,22.5,2618.54
-22.5,22.5,2240.77
-21.5,22.5,2659.12
-20.5,22.5,2626.91
-19.5,22.5,NA
-18.5,22.5,NA
-17.5,22.5,NA
-16.5,22.5,NA
-15.5,22.5,NA
-14.5,22.5,NA
-13.5,22.5,NA
-12.5,22.5,NA
-11.5,22.5,NA
-10.5,22.5,NA
-9.5,22.5,NA
-8.5,22.5,NA
-7.5,22.5,NA
-6.5,22.5,NA
-5.5,22.5,NA
-4.5,22.5,NA
-3.5,22.5,NA
-2.5,22.5,NA
-1.5,22.5,NA
-0.5,22.5,NA
-46.5,21.5,NA
-45.5,21.5,NA
-44.5,21.5,NA
-43.5,21.5,NA
-42.5,21.5,NA
-41.5,21.5,NA
-40.5,21.5,NA
-39.5,21.5,NA
-38.5,21.5,NA
-37.5,21.5,NA
-36.5,21.5,NA
-35.5,21.5,NA
-34.5,21.5,NA
-33.5,21.5,NA
-32.5,21.5,NA
-31.5,21.5,6965.00
-30.5,21.5,NA
-29.5,21.5,1107.33
-28.5,21.5,NA
-27.5,21.5,2087.30
-26.5,21.5,3172.29
-25.5,21.5,4397.70
-24.5,21.5,5776.24
-23.5,21.5,3421.38
-22.5,21.5,3216.98
-21.5,21.5,2920.37
-20.5,21.5,3491.75
-19.5,21.5,NA
-18.5,21.5,NA
-17.5,21.5,NA
-16.5,21.5,NA
-15.5,21.5,NA
-14.5,21.5,NA
-13.5,21.5,NA
-12.5,21.5,NA
-11.5,21.5,NA
-10.5,21.5,NA
-9.5,21.5,NA
-8.5,21.5,NA
-7.5,21.5,NA
-6.5,21.5,NA
-5.5,21.5,NA
-4.5,21.5,NA
-3.5,21.5,NA
-2.5,21.5,NA
-1.5,21.5,NA
-0.5,21.5,NA
-46.5,20.5,NA
-45.5,20.5,NA
-44.5,20.5,NA
-43.5,20.5,NA
-42.5,20.5,NA
-41.5,20.5,NA
-40.5,20.5,NA
-39.5,20.5,NA
-38.5,20.5,NA
-37.5,20.5,NA
-36.5,20.5,NA
-35.5,20.5,NA
-34.5,20.5,NA
-33.5,20.5,NA
-32.5,20.5,388.00
-31.5,20.5,838.00
-30.5,20.5,1519.50
-29.5,20.5,1039.25
-28.5,20.5,3414.00
-27.5,20.5,3966.09
-26.5,20.5,6061.81
-25.5,20.5,5821.81
-24.5,20.5,5381.04
-23.5,20.5,4780.05
-22.5,20.5,5050.33
-21.5,20.5,7025.02
-20.5,20.5,3206.07
-19.5,20.5,1726.43
-18.5,20.5,1264.84
-17.5,20.5,316.13
-16.5,20.5,NA
-15.5,20.5,NA
-14.5,20.5,NA
-13.5,20.5,NA
-12.5,20.5,NA
-11.5,20.5,NA
-10.5,20.5,NA
-9.5,20.5,NA
-8.5,20.5,NA
-7.5,20.5,NA
-6.5,20.5,NA
-5.5,20.5,NA
-4.5,20.5,NA
-3.5,20.5,NA
-2.5,20.5,NA
-1.5,20.5,NA
-0.5,20.5,NA
-46.5,19.5,NA
-45.5,19.5,NA
-44.5,19.5,NA
-43.5,19.5,NA
-42.5,19.5,NA
-41.5,19.5,NA
-40.5,19.5,NA
-39.5,19.5,NA
-38.5,19.5,NA
-37.5,19.5,NA
-36.5,19.5,NA
-35.5,19.5,1260.50
-34.5,19.5,NA
-33.5,19.5,NA
-32.5,19.5,NA
-31.5,19.5,NA
-30.5,19.5,5110.00
-29.5,19.5,5367.20
-28.5,19.5,4197.10
-27.5,19.5,3522.72
-26.5,19.5,2228.20
-25.5,19.5,2720.90
-24.5,19.5,2338.01
-23.5,19.5,1435.98
-22.5,19.5,2319.02
-21.5,19.5,3242.24
-20.5,19.5,4399.33
-19.5,19.5,1974.31
-18.5,19.5,1311.87
-17.5,19.5,613.15
-16.5,19.5,NA
-15.5,19.5,NA
-14.5,19.5,NA
-13.5,19.5,NA
-12.5,19.5,NA
-11.5,19.5,NA
-10.5,19.5,NA
-9.5,19.5,NA
-8.5,19.5,NA
-7.5,19.5,NA
-6.5,19.5,NA
-5.5,19.5,NA
-4.5,19.5,NA
-3.5,19.5,NA
-2.5,19.5,NA
-1.5,19.5,NA
-0.5,19.5,NA
-46.5,18.5,NA
-45.5,18.5,NA
-44.5,18.5,NA
-43.5,18.5,NA
-42.5,18.5,NA
-41.5,18.5,NA
-40.5,18.5,NA
-39.5,18.5,NA
-38.5,18.5,NA
-37.5,18.5,NA
-36.5,18.5,NA
-35.5,18.5,NA
-34.5,18.5,NA
-33.5,18.5,NA
-32.5,18.5,NA
-31.5,18.5,NA
-30.5,18.5,3094.40
-29.5,18.5,3565.31
-28.5,18.5,6753.56
-27.5,18.5,2443.36
-26.5,18.5,2566.66
-25.5,18.5,2725.34
