long,lat,vms-intens
-32.5,54.5,NA
-31.5,54.5,NA
-30.5,54.5,NA
-29.5,54.5,NA
-28.5,54.5,NA
-27.5,54.5,NA
-26.5,54.5,NA
-25.5,54.5,NA
-24.5,54.5,NA
-23.5,54.5,NA
-22.5,54.5,NA
-21.5,54.5,NA
-20.5,54.5,NA
-19.5,54.5,NA
-18.5,54.5,NA
-17.5,54.5,NA
-16.5,54.5,NA
-15.5,54.5,NA
-14.5,54.5,NA
-13.5,54.5,NA
-12.5,54.5,NA
-11.5,54.5,NA
-10.5,54.5,NA
-9.5,54.5,NA
-8.5,54.5,NA
-7.5,54.5,NA
-6.5,54.5,NA
-5.5,54.5,NA
-4.5,54.5,NA
-3.5,54.5,NA
-2.5,54.5,NA
-1.5,54.5,NA
-0.5,54.5,NA
-89.5,53.5,NA
-88.5,53.5,NA
-87.5,53.5,NA
-86.5,53.5,NA
-85.5,53.5,NA
-84.5,53.5,NA
-83.5,53.5,NA
-82.5,53.5,NA
-81.5,53.5,NA
-80.5,53.5,NA
-79.5,53.5,NA
-78.5,53.5,NA
-77.5,53.5,NA
-76.5,53.5,NA
-75.5,53.5,NA
-74.5,53.5,NA
-73.5,53.5,NA
-72.5,53.5,NA
-71.5,53.5,NA
-70.5,53.5,NA
-69.5,53.5,NA
-68.5,53.5,NA
-67.5,53.5,NA
-66.5,53.5,NA
-65.5,53.5,NA
-64.5,53.5,NA
-63.5,53.5,NA
-62.5,53.5,NA
-61.5,53.5,NA
-60.5,53.5,NA
-59.5,53.5,NA
-58.5,53.5,NA
-57.5,53.5,NA
-56.5,53.5,NA
-55.5,53.5,NA
-54.5,53.5,NA
-53.5,53.5,NA
-52.5,53.5,NA
-51.5,53.5,NA
-50.5,53.5,NA
-49.5,53.5,NA
-48.5,53.5,NA
-47.5,53.5,NA
-46.5,53.5,NA
-45.5,53.5,NA
-44.5,53.5,NA
-43.5,53.5,NA
-42.5,53.5,NA
-41.5,53.5,NA
-40.5,53.5,NA
-39.5,53.5,NA
-38.5,53.5,NA
-37.5,53.5,NA
-36.5,53.5,NA
-35.5,53.5,NA
-34.5,53.5,NA
-33.5,53.5,NA
-32.5,53.5,NA
-31.5,53.5,NA
-30.5,53.5,NA
-29.5,53.5,NA
-28.5,53.5,NA
-27.5,53.5,NA
-26.5,53.5,NA
-25.5,53.5,NA
-24.5,53.5,NA
-23.5,53.5,NA
-22.5,53.5,NA
-21.5,53.5,NA
-20.5,53.5,NA
-19.5,53.5,NA
-18.5,53.5,NA
-17.5,53.5,NA
-16.5,53.5,NA
-15.5,53.5,NA
-14.5,53.5,NA
-13.5,53.5,NA
-12.5,53.5,NA
-11.5,53.5,NA
-10.5,53.5,NA
-9.5,53.5,NA
-8.5,53.5,NA
-7.5,53.5,NA
-6.5,53.5,NA
-5.5,53.5,NA
-4.5,53.5,NA
-3.5,53.5,NA
-2.5,53.5,NA
-1.5,53.5,NA
-0.5,53.5,NA
-89.5,52.5,NA
-88.5,52.5,NA
-87.5,52.5,NA
-86.5,52.5,NA
-85.5,52.5,NA
-84.5,52.5,NA
-83.5,52.5,NA
-82.5,52.5,NA
-81.5,52.5,NA
-80.5,52.5,NA
-79.5,52.5,NA
-78.5,52.5,NA
-77.5,52.5,NA
-76.5,52.5,NA
-75.5,52.5,NA
-74.5,52.5,NA
-73.5,52.5,NA
-72.5,52.5,NA
-71.5,52.5,NA
-70.5,52.5,NA
-69.5,52.5,NA
-68.5,52.5,NA
-67.5,52.5,NA
-66.5,52.5,NA
-65.5,52.5,NA
-64.5,52.5,NA
-63.5,52.5,NA
-62.5,52.5,NA
-61.5,52.5,NA
-60.5,52.5,NA
-59.5,52.5,NA
-58.5,52.5,NA
-57.5,52.5,NA
-56.5,52.5,NA
-55.5,52.5,NA
-54.5,52.5,NA
-53.5,52.5,NA
-52.5,52.5,NA
-51.5,52.5,NA
-50.5,52.5,NA
-49.5,52.5,NA
-48.5,52.5,NA
-47.5,52.5,NA
-46.5,52.5,NA
-45.5,52.5,NA
-44.5,52.5,NA
-43.5,52.5,NA
-42.5,52.5,NA
-41.5,52.5,NA
-40.5,52.5,NA
-39.5,52.5,NA
-38.5,52.5,NA
-37.5,52.5,NA
-36.5,52.5,NA
-35.5,52.5,NA
-34.5,52.5,NA
-33.5,52.5,NA
-32.5,52.5,NA
-31.5,52.5,NA
-30.5,52.5,NA
-29.5,52.5,NA
-28.5,52.5,NA
-27.5,52.5,NA
-26.5,52.5,NA
-25.5,52.5,NA
-24.5,52.5,NA
-23.5,52.5,NA
-22.5,52.5,NA
-21.5,52.5,NA
-20.5,52.5,NA
-19.5,52.5,NA
-18.5,52.5,NA
-17.5,52.5,NA
-16.5,52.5,NA
-15.5,52.5,0.4
-14.5,52.5,0.6
-13.5,52.5,NA
-12.5,52.5,NA
-11.5,52.5,NA
-10.5,52.5,NA
-9.5,52.5,NA
-8.5,52.5,NA
-7.5,52.5,NA
-6.5,52.5,NA
-5.5,52.5,NA
-4.5,52.5,NA
-3.5,52.5,NA
-2.5,52.5,NA
-1.5,52.5,NA
-0.5,52.5,NA
-89.5,51.5,NA
-88.5,51.5,NA
-87.5,51.5,NA
-86.5,51.5,NA
-85.5,51.5,NA
-84.5,51.5,NA
-83.5,51.5,NA
-82.5,51.5,NA
-81.5,51.5,NA
-80.5,51.5,NA
-79.5,51.5,NA
-78.5,51.5,NA
-77.5,51.5,NA
-76.5,51.5,NA
-75.5,51.5,NA
-74.5,51.5,NA
-73.5,51.5,NA
-72.5,51.5,NA
-71.5,51.5,NA
-70.5,51.5,NA
-69.5,51.5,NA
-68.5,51.5,NA
-67.5,51.5,NA
-66.5,51.5,NA
-65.5,51.5,NA
-64.5,51.5,NA
-63.5,51.5,NA
-62.5,51.5,NA
-61.5,51.5,NA
-60.5,51.5,NA
-59.5,51.5,NA
-58.5,51.5,NA
-57.5,51.5,NA
-56.5,51.5,NA
-55.5,51.5,NA
-54.5,51.5,NA
-53.5,51.5,NA
-52.5,51.5,NA
-51.5,51.5,NA
-50.5,51.5,NA
-49.5,51.5,NA
-48.5,51.5,NA
-47.5,51.5,NA
-46.5,51.5,NA
-45.5,51.5,NA
-44.5,51.5,NA
-43.5,51.5,NA
-42.5,51.5,NA
-41.5,51.5,NA
-40.5,51.5,NA
-39.5,51.5,NA
-38.5,51.5,NA
-37.5,51.5,NA
-36.5,51.5,NA
-35.5,51.5,NA
-34.5,51.5,NA
-33.5,51.5,NA
-32.5,51.5,NA
-31.5,51.5,NA
-30.5,51.5,NA
-29.5,51.5,NA
-28.5,51.5,NA
-27.5,51.5,NA
-26.5,51.5,NA
-25.5,51.5,NA
-24.5,51.5,NA
-23.5,51.5,NA
-22.5,51.5,NA
-21.5,51.5,NA
-20.5,51.5,NA
-19.5,51.5,NA
-18.5,51.5,NA
-17.5,51.5,NA
-16.5,51.5,NA
-15.5,51.5,0.114285714
-14.5,51.5,0.154761905
-13.5,51.5,NA
-12.5,51.5,NA
-11.5,51.5,NA
-10.5,51.5,NA
-9.5,51.5,NA
-8.5,51.5,NA
-7.5,51.5,NA
-6.5,51.5,NA
-5.5,51.5,NA
-4.5,51.5,NA
-3.5,51.5,NA
-2.5,51.5,NA
-1.5,51.5,NA
-0.5,51.5,NA
-89.5,50.5,NA
-88.5,50.5,NA
-87.5,50.5,NA
-86.5,50.5,NA
-85.5,50.5,NA
-84.5,50.5,NA
-83.5,50.5,NA
-82.5,50.5,NA
-81.5,50.5,NA
-80.5,50.5,NA
-79.5,50.5,NA
-78.5,50.5,NA
-77.5,50.5,NA
-76.5,50.5,NA
-75.5,50.5,NA
-74.5,50.5,NA
-73.5,50.5,NA
-72.5,50.5,NA
-71.5,50.5,NA
-70.5,50.5,NA
-69.5,50.5,NA
-68.5,50.5,NA
-67.5,50.5,NA
-66.5,50.5,NA
-65.5,50.5,NA
-64.5,50.5,NA
-63.5,50.5,NA
-62.5,50.5,NA
-61.5,50.5,NA
-60.5,50.5,NA
-59.5,50.5,NA
-58.5,50.5,NA
-57.5,50.5,NA
-56.5,50.5,NA
-55.5,50.5,NA
-54.5,50.5,NA
-53.5,50.5,NA
-52.5,50.5,NA
-51.5,50.5,NA
-50.5,50.5,NA
-49.5,50.5,NA
-48.5,50.5,NA
-47.5,50.5,NA
-46.5,50.5,NA
-45.5,50.5,NA
-44.5,50.5,NA
-43.5,50.5,NA
-42.5,50.5,NA
-41.5,50.5,NA
-40.5,50.5,NA
-39.5,50.5,NA
-38.5,50.5,NA
-37.5,50.5,NA
-36.5,50.5,NA
-35.5,50.5,NA
-34.5,50.5,NA
-33.5,50.5,NA
-32.5,50.5,NA
-31.5,50.5,NA
-30.5,50.5,NA
-29.5,50.5,NA
-28.5,50.5,NA
-27.5,50.5,NA
-26.5,50.5,NA
-25.5,50.5,NA
-24.5,50.5,NA
-23.5,50.5,NA
-22.5,50.5,NA
-21.5,50.5,NA
-20.5,50.5,NA
-19.5,50.5,NA
-18.5,50.5,NA
-17.5,50.5,NA
-16.5,50.5,NA
-15.5,50.5,NA
-14.5,50.5,0.108910891
-13.5,50.5,0.07751938
-12.5,50.5,0.018518519
-11.5,50.5,0.260869565
-10.5,50.5,NA
-9.5,50.5,NA
-8.5,50.5,NA
-7.5,50.5,NA
-6.5,50.5,NA
-5.5,50.5,NA
-4.5,50.5,NA
-3.5,50.5,NA
-2.5,50.5,NA
-1.5,50.5,NA
-0.5,50.5,NA
-89.5,49.5,NA
-88.5,49.5,NA
-87.5,49.5,NA
-86.5,49.5,NA
-85.5,49.5,NA
-84.5,49.5,NA
-83.5,49.5,NA
-82.5,49.5,NA
-81.5,49.5,NA
-80.5,49.5,NA
-79.5,49.5,NA
-78.5,49.5,NA
-77.5,49.5,NA
-76.5,49.5,NA
-75.5,49.5,NA
-74.5,49.5,NA
-73.5,49.5,NA
-72.5,49.5,NA
-71.5,49.5,NA
-70.5,49.5,NA
-69.5,49.5,NA
-68.5,49.5,NA
-67.5,49.5,NA
-66.5,49.5,NA
-65.5,49.5,NA
-64.5,49.5,NA
-63.5,49.5,NA
-62.5,49.5,NA
-61.5,49.5,NA
-60.5,49.5,NA
-59.5,49.5,NA
-58.5,49.5,NA
-57.5,49.5,NA
-56.5,49.5,NA
-55.5,49.5,NA
-54.5,49.5,NA
-53.5,49.5,NA
-52.5,49.5,NA
-51.5,49.5,NA
-50.5,49.5,NA
-49.5,49.5,NA
-48.5,49.5,NA
-47.5,49.5,NA
-46.5,49.5,NA
-45.5,49.5,NA
-44.5,49.5,NA
-43.5,49.5,NA
-42.5,49.5,NA
-41.5,49.5,NA
-40.5,49.5,NA
-39.5,49.5,NA
-38.5,49.5,NA
-37.5,49.5,NA
-36.5,49.5,NA
-35.5,49.5,NA
-34.5,49.5,NA
-33.5,49.5,NA
-32.5,49.5,NA
-31.5,49.5,NA
-30.5,49.5,NA
-29.5,49.5,NA
-28.5,49.5,NA
-27.5,49.5,NA
-26.5,49.5,NA
-25.5,49.5,NA
-24.5,49.5,NA
-23.5,49.5,NA
-22.5,49.5,NA
-21.5,49.5,NA
-20.5,49.5,NA
-19.5,49.5,NA
-18.5,49.5,NA
-17.5,49.5,NA
-16.5,49.5,NA
-15.5,49.5,NA
-14.5,49.5,NA
-13.5,49.5,0.133333333
-12.5,49.5,0.563291139
-11.5,49.5,0.459649123
-10.5,49.5,NA
-9.5,49.5,NA
-8.5,49.5,NA
-7.5,49.5,NA
-6.5,49.5,NA
-5.5,49.5,NA
-4.5,49.5,NA
-3.5,49.5,NA
-2.5,49.5,NA
-1.5,49.5,NA
-0.5,49.5,NA
-89.5,48.5,NA
-88.5,48.5,NA
-87.5,48.5,NA
-86.5,48.5,NA
-85.5,48.5,NA
-84.5,48.5,NA
-83.5,48.5,NA
-82.5,48.5,NA
-81.5,48.5,NA
-80.5,48.5,NA
-79.5,48.5,NA
-78.5,48.5,NA
-77.5,48.5,NA
-76.5,48.5,NA
-75.5,48.5,NA
-74.5,48.5,NA
-73.5,48.5,NA
-72.5,48.5,NA
-71.5,48.5,NA
-70.5,48.5,NA
-69.5,48.5,NA
-68.5,48.5,NA
-67.5,48.5,NA
-66.5,48.5,NA
-65.5,48.5,NA
-64.5,48.5,NA
-63.5,48.5,NA
-62.5,48.5,NA
-61.5,48.5,NA
-60.5,48.5,NA
-59.5,48.5,NA
-58.5,48.5,NA
-57.5,48.5,NA
-56.5,48.5,NA
-55.5,48.5,NA
-54.5,48.5,NA
-53.5,48.5,NA
-52.5,48.5,NA
-51.5,48.5,NA
-50.5,48.5,NA
-49.5,48.5,NA
-48.5,48.5,NA
-47.5,48.5,NA
