id,date,area,tag-type,max-depth,tad250,tad500
S1,2009-07-10,OMZ,ARGOS,NA,NA,NA
S1,2009-07-11,OMZ,ARGOS,NA,NA,NA
S1,2009-07-12,OMZ,ARGOS,NA,NA,NA
S1,2009-07-13,OMZ,ARGOS,NA,NA,NA
S1,2009-07-14,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-15,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-16,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-17,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-18,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-19,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-20,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-21,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-22,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-23,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-24,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-25,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-26,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-27,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-28,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-29,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-30,Normoxia,ARGOS,NA,NA,NA
S1,2009-07-31,Normoxia,ARGOS,NA,NA,NA
S1,2009-08-01,Normoxia,ARGOS,NA,NA,NA
S1,2009-08-02,Normoxia,ARGOS,NA,NA,NA
S1,2009-08-03,Normoxia,ARGOS,NA,NA,NA
S1,2009-08-04,Normoxia,ARGOS,NA,NA,NA
S1,2009-08-05,Normoxia,ARGOS,NA,NA,NA
S1,2009-08-06,Normoxia,ARGOS,NA,NA,NA
S1,2009-08-07,Normoxia,ARGOS,NA,NA,NA
S1,2009-08-08,Normoxia,ARGOS,NA,NA,NA
S1,2009-08-09,Normoxia,ARGOS,NA,NA,NA
S1,2009-08-10,OMZ,ARGOS,NA,NA,NA
S1,2009-08-11,OMZ,ARGOS,NA,NA,NA
S1,2009-08-12,OMZ,ARGOS,NA,NA,NA
S1,2009-08-13,OMZ,ARGOS,NA,NA,NA
S1,2009-08-14,OMZ,ARGOS,NA,NA,NA
S1,2009-08-15,OMZ,ARGOS,NA,NA,NA
S1,2009-08-16,OMZ,ARGOS,NA,NA,NA
S1,2009-08-17,OMZ,ARGOS,NA,NA,NA
S1,2009-08-18,OMZ,ARGOS,NA,NA,NA
S1,2009-08-19,OMZ,ARGOS,NA,NA,NA
S1,2009-08-20,OMZ,ARGOS,NA,NA,NA
S1,2009-08-21,OMZ,ARGOS,NA,NA,NA
S1,2009-08-22,OMZ,ARGOS,NA,NA,NA
S1,2009-08-23,OMZ,ARGOS,NA,NA,NA
S1,2009-08-24,OMZ,ARGOS,NA,NA,NA
S1,2009-08-25,OMZ,ARGOS,NA,NA,NA
S1,2009-08-26,OMZ,ARGOS,NA,NA,NA
S1,2009-08-27,OMZ,ARGOS,NA,NA,NA
S1,2009-08-28,OMZ,ARGOS,NA,NA,NA
S1,2009-08-29,OMZ,ARGOS,NA,NA,NA
S1,2009-08-30,OMZ,ARGOS,NA,NA,NA
S1,2009-08-31,OMZ,ARGOS,NA,NA,NA
S1,2009-09-01,OMZ,ARGOS,NA,NA,NA
S1,2009-09-02,OMZ,ARGOS,NA,NA,NA
S1,2009-09-03,OMZ,ARGOS,NA,NA,NA
S1,2009-09-04,OMZ,ARGOS,NA,NA,NA
S1,2009-09-05,OMZ,ARGOS,NA,NA,NA
S1,2009-09-06,OMZ,ARGOS,NA,NA,NA
S1,2009-09-07,OMZ,ARGOS,NA,NA,NA
S1,2009-09-08,OMZ,ARGOS,NA,NA,NA
S1,2009-09-09,OMZ,ARGOS,NA,NA,NA
S1,2009-09-10,OMZ,ARGOS,NA,NA,NA
S1,2009-09-11,OMZ,ARGOS,NA,NA,NA
S1,2009-09-12,Normoxia,ARGOS,NA,NA,NA
S1,2009-09-13,Normoxia,ARGOS,NA,NA,NA
S1,2009-09-14,Normoxia,ARGOS,NA,NA,NA
S1,2009-09-15,Normoxia,ARGOS,NA,NA,NA
S1,2009-09-16,Normoxia,ARGOS,NA,NA,NA
S1,2009-09-17,Normoxia,ARGOS,NA,NA,NA
S1,2009-09-18,OMZ,ARGOS,NA,NA,NA
S1,2009-09-19,OMZ,ARGOS,NA,NA,NA
S1,2009-09-20,OMZ,ARGOS,NA,NA,NA
S1,2009-09-21,OMZ,ARGOS,NA,NA,NA
S1,2009-09-22,OMZ,ARGOS,NA,NA,NA
S1,2009-09-23,OMZ,ARGOS,NA,NA,NA
S1,2009-09-24,OMZ,ARGOS,NA,NA,NA
S1,2009-09-25,OMZ,ARGOS,NA,NA,NA
S1,2009-09-26,OMZ,ARGOS,NA,NA,NA
S1,2009-09-27,OMZ,ARGOS,NA,NA,NA
S1,2009-09-28,OMZ,ARGOS,NA,NA,NA
S1,2009-09-29,OMZ,ARGOS,NA,NA,NA
S1,2009-09-30,OMZ,ARGOS,NA,NA,NA
S1,2009-10-01,OMZ,ARGOS,NA,NA,NA
S1,2009-10-02,Normoxia,ARGOS,NA,NA,NA
S1,2009-10-03,Normoxia,ARGOS,NA,NA,NA
S1,2009-10-04,Normoxia,ARGOS,NA,NA,NA
S1,2009-10-05,Normoxia,ARGOS,NA,NA,NA
S1,2009-10-06,Normoxia,ARGOS,NA,NA,NA
S1,2009-10-07,Normoxia,ARGOS,NA,NA,NA
S1,2009-10-08,Normoxia,ARGOS,NA,NA,NA
S1,2009-10-09,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-16,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-17,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-18,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-19,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-20,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-21,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-22,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-23,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-24,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-25,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-26,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-27,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-28,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-29,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-30,Normoxia,ARGOS,NA,NA,NA
S10,2009-10-31,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-01,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-02,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-03,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-04,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-05,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-06,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-07,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-08,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-09,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-10,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-11,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-12,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-13,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-14,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-15,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-16,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-17,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-18,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-19,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-20,Normoxia,ARGOS,NA,NA,NA
S10,2009-11-21,Normoxia,ARGOS,NA,NA,NA
