long,lat,mdd
-12.5,24.5,NA
-11.5,24.5,NA
-10.5,24.5,NA
-9.5,24.5,NA
-8.5,24.5,NA
-7.5,24.5,NA
-6.5,24.5,NA
-5.5,24.5,NA
-4.5,24.5,NA
-3.5,24.5,NA
-2.5,24.5,NA
-1.5,24.5,NA
-0.5,24.5,NA
-39.5,23.5,409.99
-38.5,23.5,412.20
-37.5,23.5,414.16
-36.5,23.5,415.58
-35.5,23.5,416.88
-34.5,23.5,416.56
-33.5,23.5,417.38
-32.5,23.5,419.67
-31.5,23.5,420.77
-30.5,23.5,420.19
-29.5,23.5,419.55
-28.5,23.5,419.99
-27.5,23.5,419.20
-26.5,23.5,417.70
-25.5,23.5,415.69
-24.5,23.5,407.95
-23.5,23.5,386.60
-22.5,23.5,363.46
-21.5,23.5,338.70
-20.5,23.5,334.76
-19.5,23.5,332.92
-18.5,23.5,350.20
-17.5,23.5,364.34
-16.5,23.5,NA
-15.5,23.5,NA
-14.5,23.5,NA
-13.5,23.5,NA
-12.5,23.5,NA
-11.5,23.5,NA
-10.5,23.5,NA
-9.5,23.5,NA
-8.5,23.5,NA
-7.5,23.5,NA
-6.5,23.5,NA
-5.5,23.5,NA
-4.5,23.5,NA
-3.5,23.5,NA
-2.5,23.5,NA
-1.5,23.5,NA
-0.5,23.5,NA
-39.5,22.5,404.33
-38.5,22.5,407.46
-37.5,22.5,409.76
-36.5,22.5,411.88
-35.5,22.5,414.30
-34.5,22.5,415.22
-33.5,22.5,416.82
-32.5,22.5,418.85
-31.5,22.5,419.60
-30.5,22.5,420.13
-29.5,22.5,420.28
-28.5,22.5,419.37
-27.5,22.5,416.97
-26.5,22.5,408.38
-25.5,22.5,403.78
-24.5,22.5,392.84
-23.5,22.5,363.94
-22.5,22.5,345.85
-21.5,22.5,338.67
-20.5,22.5,338.18
-19.5,22.5,348.69
-18.5,22.5,370.64
-17.5,22.5,NA
-16.5,22.5,NA
-15.5,22.5,NA
-14.5,22.5,NA
-13.5,22.5,NA
-12.5,22.5,NA
-11.5,22.5,NA
-10.5,22.5,NA
-9.5,22.5,NA
-8.5,22.5,NA
-7.5,22.5,NA
-6.5,22.5,NA
-5.5,22.5,NA
-4.5,22.5,NA
-3.5,22.5,NA
-2.5,22.5,NA
-1.5,22.5,NA
-0.5,22.5,NA
-39.5,21.5,398.28
-38.5,21.5,401.93
-37.5,21.5,404.73
-36.5,21.5,407.84
-35.5,21.5,410.69
-34.5,21.5,412.57
-33.5,21.5,414.98
-32.5,21.5,417.04
-31.5,21.5,417.52
-30.5,21.5,417.55
-29.5,21.5,416.57
-28.5,21.5,412.88
-27.5,21.5,401.63
-26.5,21.5,383.73
-25.5,21.5,371.37
-24.5,21.5,356.83
-23.5,21.5,343.03
-22.5,21.5,339.31
-21.5,21.5,339.70
-20.5,21.5,347.12
-19.5,21.5,366.05
-18.5,21.5,353.50
-17.5,21.5,NA
-16.5,21.5,NA
-15.5,21.5,NA
-14.5,21.5,NA
-13.5,21.5,NA
-12.5,21.5,NA
